iter	Passed	Remaining
0	2	802
1	5	755
2	7	709
3	9	728
4	12	708
5	14	691
6	16	681
7	18	673
8	20	668
9	23	674
10	25	669
11	27	661
12	29	657
13	32	655
14	34	650
15	36	645
16	39	652
17	43	682
18	45	676
19	47	671
20	50	665
21	52	661
22	54	658
23	56	654
24	59	649
25	61	647
26	63	643
27	65	639
28	68	635
29	70	635
30	72	631
31	74	627
32	77	623
33	79	619
34	81	616
35	83	613
36	86	611
37	88	609
38	90	608
39	93	605
40	95	602
41	97	599
42	100	602
43	104	606
44	106	603
45	108	600
46	110	596
47	112	593
48	115	590
49	117	588
50	119	584
51	122	581
52	124	578
53	126	575
54	128	572
55	130	569
56	133	568
57	135	565
58	137	562
59	139	559
60	142	556
61	144	554
62	146	551
63	148	549
64	151	546
65	153	543
66	155	540
67	157	538
68	159	535
69	162	533
70	164	531
71	166	528
72	169	526
73	171	523
74	173	520
75	175	518
76	178	515
77	180	513
78	182	510
79	184	507
80	186	505
81	188	502
82	191	499
83	193	498
84	196	496
85	198	493
86	200	490
87	202	488
88	204	485
89	206	482
90	209	480
91	211	478
92	213	475
93	215	472
94	217	470
95	220	467
96	222	465
97	224	463
98	226	460
99	229	458
100	231	455
101	233	453
102	235	450
103	237	448
104	240	446
105	242	443
106	244	441
107	246	438
108	248	436
109	251	433
110	253	431
111	255	429
112	258	427
113	260	424
114	262	422
115	264	420
116	267	417
117	269	415
118	271	412
119	273	410
120	276	409
121	278	406
122	280	404
123	283	401
124	285	399
125	287	397
126	290	395
127	292	393
128	295	391
129	298	390
130	301	389
131	303	386
132	306	384
133	308	381
134	310	379
135	312	377
136	314	374
137	317	372
138	319	370
139	322	368
140	324	365
141	326	363
142	328	360
143	330	358
144	333	356
145	335	353
146	337	351
147	339	348
148	341	346
149	343	343
150	346	341
151	348	339
152	350	337
153	352	334
154	355	332
155	357	330
156	360	328
157	362	325
158	364	323
159	366	321
160	369	318
161	371	316
162	373	313
163	375	311
164	377	309
165	380	307
166	382	304
167	384	302
168	388	301
169	391	299
170	395	298
171	398	296
172	401	294
173	403	292
174	405	289
175	407	287
176	410	285
177	412	282
178	414	280
179	416	277
180	418	275
181	421	273
182	423	270
183	425	268
184	427	265
185	429	263
186	431	261
187	434	258
188	436	256
189	438	253
190	441	251
191	443	249
192	445	247
193	447	244
194	449	242
195	452	239
196	454	237
197	456	235
198	458	232
199	460	230
200	463	228
201	465	225
202	468	223
203	470	221
204	472	219
205	474	216
206	477	214
207	479	212
208	481	209
209	483	207
210	486	205
211	488	202
212	490	200
213	492	197
214	494	195
215	496	193
216	498	190
217	501	188
218	503	186
219	505	183
220	507	181
221	509	179
222	512	176
223	514	174
224	517	172
225	519	169
226	521	167
227	523	165
228	525	163
229	527	160
230	530	158
231	532	156
232	534	153
233	537	151
234	539	149
235	541	146
236	544	144
237	546	142
238	548	140
239	551	137
240	553	135
241	555	133
242	558	130
243	560	128
244	562	126
245	565	124
246	567	121
247	569	119
248	571	117
249	573	114
250	575	112
251	578	110
252	580	107
253	582	105
254	584	103
255	586	100
256	589	98
257	591	96
258	594	94
259	596	91
260	598	89
261	600	87
262	602	84
263	605	82
264	607	80
265	610	78
266	612	75
267	614	73
268	616	71
269	618	68
270	621	66
271	623	64
272	626	61
273	628	59
274	630	57
275	632	55
276	634	52
277	636	50
278	639	48
279	641	45
280	643	43
281	645	41
282	651	39
283	653	36
284	655	34
285	658	32
286	660	29
287	662	27
288	664	25
289	667	23
290	669	20
291	671	18
292	674	16
293	676	13
294	678	11
295	680	9
296	683	6
297	685	4
298	688	2
299	690	0
